station id,location,date,min,max,ave
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-01,52,56,38
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-02,52,62,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-03,61,71,42
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-04,46,65,43
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-05,50,62,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-06,54,62,40
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-07,56,60,51
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-08,57,63,45
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-09,57,63,53
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-10,49,54,43
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-11,46,55,44
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-12,51,62,40
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-13,54,65,44
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-14,53,62,51
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-15,59,70,47
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-16,56,65,47
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-17,53,63,46
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-18,56,64,43
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-19,63,71,52
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-20,52,63,48
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-21,59,71,44
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-22,66,81,51
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-23,64,69,59
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-24,69,74,57
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-25,63,85,55
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-26,63,76,50
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-27,65,80,57
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-28,60,64,55
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-29,63,73,56
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-06-30,56,64,51
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-07-01,57,70,53
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1894-07-02,61,71,53
