STATION,NAME,DATE,TAVG,TMAX,TMIN
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-01,-16,,-27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-02,-16,,-30
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-03,-8,,-19
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-04,-14,,-27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-05,-7,,-25
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-06,-4,,-20
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-07,-2,,-25
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-08,-11,,-21
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-09,-15,,-25
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-10,-16,,-30
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-11,-19,,-30
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-12,-25,,-39
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-13,-27,,-39
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-14,-25,,-34
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-15,-23,,-39
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-16,-27,,-40
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-17,-26,,-40
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-18,-27,,-39
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-19,-22,,-36
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-20,-24,,-37
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-21,-13,,-36
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-22,-10,,-27
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-23,1,,-11
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-24,-1,,-7
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-25,0,,-6
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-26,6,,0
RSM00032061,"ALEKSANDROVSK SAHALINSKIJ, RS",1890-01-27,0,,-3
