STATION,NAME,DATE,TAVG,TMAX,TMIN
TX000038987,"GYSHGY, TX",9/1/1904,66,86,37
TX000038987,"GYSHGY, TX",9/2/1904,67,80,47
TX000038987,"GYSHGY, TX",9/3/1904,65,77,49
TX000038987,"GYSHGY, TX",9/4/1904,69,88,42
TX000038987,"GYSHGY, TX",9/5/1904,67,85,53
TX000038987,"GYSHGY, TX",9/6/1904,68,81,35
TX000038987,"GYSHGY, TX",9/7/1904,65,83,38
TX000038987,"GYSHGY, TX",9/8/1904,66,81,39
TX000038987,"GYSHGY, TX",9/9/1904,64,78,43
TX000038987,"GYSHGY, TX",9/10/1904,63,77,42
TX000038987,"GYSHGY, TX",9/11/1904,68,85,41
TX000038987,"GYSHGY, TX",9/12/1904,66,80,49
TX000038987,"GYSHGY, TX",9/13/1904,64,78,47
TX000038987,"GYSHGY, TX",9/14/1904,63,74,44
TX000038987,"GYSHGY, TX",9/15/1904,67,88,41
TX000038987,"GYSHGY, TX",9/16/1904,67,84,57
TX000038987,"GYSHGY, TX",9/17/1904,56,84,41
TX000038987,"GYSHGY, TX",9/18/1904,57,81,34
TX000038987,"GYSHGY, TX",9/19/1904,64,81,35
TX000038987,"GYSHGY, TX",9/20/1904,63,80,46
TX000038987,"GYSHGY, TX",9/21/1904,57,78,41
TX000038987,"GYSHGY, TX",9/22/1904,47,51,44
TX000038987,"GYSHGY, TX",9/23/1904,54,64,40
TX000038987,"GYSHGY, TX",9/24/1904,59,71,34
TX000038987,"GYSHGY, TX",9/25/1904,65,83,40
TX000038987,"GYSHGY, TX",9/26/1904,63,79,38
TX000038987,"GYSHGY, TX",9/27/1904,60,76,40
TX000038987,"GYSHGY, TX",9/28/1904,59,74,36
TX000038987,"GYSHGY, TX",9/29/1904,59,72,37
TX000038987,"GYSHGY, TX",9/30/1904,57,70,35
TX000038987,"GYSHGY, TX",10/1/1904,47,59,35
TX000038987,"GYSHGY, TX",10/2/1904,43,60,35
TX000038987,"GYSHGY, TX",10/3/1904,48,61,40
TX000038987,"GYSHGY, TX",10/4/1904,45,56,32
TX000038987,"GYSHGY, TX",10/5/1904,41,53,34
TX000038987,"GYSHGY, TX",10/6/1904,42,59,19
TX000038987,"GYSHGY, TX",10/7/1904,59,78,30
TX000038987,"GYSHGY, TX",10/8/1904,68,83,48
TX000038987,"GYSHGY, TX",10/9/1904,67,84,42
TX000038987,"GYSHGY, TX",10/10/1904,62,77,41
TX000038987,"GYSHGY, TX",10/11/1904,56,73,38
TX000038987,"GYSHGY, TX",10/12/1904,52,68,34
TX000038987,"GYSHGY, TX",10/13/1904,50,64,36
TX000038987,"GYSHGY, TX",10/14/1904,52,65,36
TX000038987,"GYSHGY, TX",10/15/1904,47,63,26
TX000038987,"GYSHGY, TX",10/16/1904,46,63,22
TX000038987,"GYSHGY, TX",10/17/1904,48,72,17
TX000038987,"GYSHGY, TX",10/18/1904,62,78,41
TX000038987,"GYSHGY, TX",10/19/1904,66,83,48
TX000038987,"GYSHGY, TX",10/20/1904,64,84,44
TX000038987,"GYSHGY, TX",10/21/1904,58,68,42
TX000038987,"GYSHGY, TX",10/22/1904,64,85,40
TX000038987,"GYSHGY, TX",10/23/1904,72,89,50
TX000038987,"GYSHGY, TX",10/24/1904,77,89,64
TX000038987,"GYSHGY, TX",10/25/1904,48,67,44
TX000038987,"GYSHGY, TX",10/26/1904,51,67,41
TX000038987,"GYSHGY, TX",10/27/1904,53,62,41
TX000038987,"GYSHGY, TX",10/28/1904,52,62,43
TX000038987,"GYSHGY, TX",10/29/1904,54,71,31
TX000038987,"GYSHGY, TX",10/30/1904,55,73,36
TX000038987,"GYSHGY, TX",10/31/1904,56,86,32
TX000038987,"GYSHGY, TX",11/1/1904,56,76,32
TX000038987,"GYSHGY, TX",11/2/1904,60,78,45
TX000038987,"GYSHGY, TX",11/3/1904,55,74,47
TX000038987,"GYSHGY, TX",11/4/1904,52,71,32
TX000038987,"GYSHGY, TX",11/5/1904,50,73,36
TX000038987,"GYSHGY, TX",11/6/1904,49,61,33
TX000038987,"GYSHGY, TX",11/7/1904,57,69,34
TX000038987,"GYSHGY, TX",11/8/1904,49,73,41
TX000038987,"GYSHGY, TX",11/9/1904,49,65,40
TX000038987,"GYSHGY, TX",11/10/1904,45,59,32
TX000038987,"GYSHGY, TX",11/11/1904,48,62,33
TX000038987,"GYSHGY, TX",11/12/1904,47,65,34
TX000038987,"GYSHGY, TX",11/13/1904,43,47,36
TX000038987,"GYSHGY, TX",11/14/1904,49,62,36
TX000038987,"GYSHGY, TX",11/15/1904,55,64,36
TX000038987,"GYSHGY, TX",11/16/1904,55,67,47
TX000038987,"GYSHGY, TX",11/17/1904,54,68,36
TX000038987,"GYSHGY, TX",11/18/1904,62,72,52
TX000038987,"GYSHGY, TX",11/19/1904,66,71,58
TX000038987,"GYSHGY, TX",11/20/1904,62,73,52
TX000038987,"GYSHGY, TX",11/21/1904,62,72,50
TX000038987,"GYSHGY, TX",11/22/1904,54,60,46
TX000038987,"GYSHGY, TX",11/23/1904,52,63,44
TX000038987,"GYSHGY, TX",11/24/1904,48,57,40
TX000038987,"GYSHGY, TX",11/25/1904,40,46,34
TX000038987,"GYSHGY, TX",11/26/1904,36,39,32
TX000038987,"GYSHGY, TX",11/27/1904,38,41,33
TX000038987,"GYSHGY, TX",11/28/1904,40,47,33
TX000038987,"GYSHGY, TX",11/29/1904,41,51,34
TX000038987,"GYSHGY, TX",11/30/1904,38,45,33
TX000038987,"GYSHGY, TX",12/1/1904,39,53,27
TX000038987,"GYSHGY, TX",12/2/1904,35,54,28
TX000038987,"GYSHGY, TX",12/3/1904,40,52,30
TX000038987,"GYSHGY, TX",12/4/1904,45,56,30
TX000038987,"GYSHGY, TX",12/5/1904,37,50,26
TX000038987,"GYSHGY, TX",12/6/1904,36,41,21
TX000038987,"GYSHGY, TX",12/7/1904,41,55,22
TX000038987,"GYSHGY, TX",12/8/1904,56,63,38
